Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
286,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,17.1,433,569,76.1,10182,2886,10,27,37.0,267,325,82.2,156,217,71.9,2,1.9,+0.1,29,51,27,7,83,Matches
287,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,15.1,329,441,74.6,5255,967,6,21,28.6,282,355,79.4,41,65,63.1,2,1.6,+0.4,11,18,8,3,27,Matches
288,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,31,51,60.8,826,541,2,2,100.0,16,16,100.0,13,33,39.4,0,0.0,0.0,0,0,0,0,0,Matches
289,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,25.4,1010,1302,77.6,17659,5667,32,62,51.6,786,938,83.8,192,302,63.6,1,1.6,-0.6,20,94,18,4,115,Matches
290,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,28.2,614,915,67.1,11847,4111,14,63,22.2,453,550,82.4,147,302,48.7,5,5.5,-0.5,43,64,28,20,110,Matches
291,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,17.2,663,825,80.4,13703,3287,9,24,37.5,466,553,84.3,188,248,75.8,1,0.7,+0.3,13,70,9,2,65,Matches
292,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,29.0,766,1028,74.5,18152,6685,6,17,35.3,455,517,88.0,305,494,61.7,1,0.6,+0.4,5,47,1,0,55,Matches
293,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,12.4,861,1002,85.9,15282,4483,10,29,34.5,720,788,91.4,131,185,70.8,2,1.1,+0.9,16,44,32,15,116,Matches
294,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,2.2,123,133,92.5,2203,546,4,6,66.7,96,103,93.2,23,24,95.8,0,0.1,-0.1,2,11,1,0,9,Matches
295,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.0,399,468,85.3,8439,2647,3,8,37.5,282,311,90.7,114,149,76.5,0,0.1,-0.1,1,14,0,0,21,Matches
296,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,6.1,121,163,74.2,1655,475,6,22,27.3,105,123,85.4,10,18,55.6,0,0.6,-0.6,2,9,6,1,14,Matches
297,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,22.1,910,1196,76.1,19590,6683,14,23,60.9,621,713,87.1,275,460,59.8,1,2.0,-1.0,25,82,7,0,141,Matches
298,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,8.4,540,632,85.4,10864,2585,3,16,18.8,399,433,92.1,138,183,75.4,2,0.6,+1.4,7,51,9,1,53,Matches
299,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,23.2,964,1127,85.5,23189,6431,5,14,35.7,559,622,89.9,400,491,81.5,1,0.2,+0.8,3,48,1,0,61,Matches
300,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,0.9,37,39,94.9,531,83,2,2,100.0,31,32,96.9,4,5,80.0,0,0.0,0.0,0,2,1,1,3,Matches
301,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,22.3,800,979,81.7,19837,6043,6,23,26.1,442,477,92.7,352,479,73.5,1,0.5,+0.5,6,45,3,1,33,Matches
302,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,58,77,75.3,935,218,2,7,28.6,46,54,85.2,10,16,62.5,0,0.2,-0.2,2,3,2,0,7,Matches
303,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,182,201,90.5,2676,1122,4,6,66.7,167,177,94.4,11,18,61.1,0,0.3,-0.3,3,8,0,0,11,Matches
304,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,19.0,935,1162,80.5,16407,5709,11,46,23.9,769,883,87.1,155,233,66.5,1,1.5,-0.5,20,38,33,18,129,Matches
305,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1.0,6,22,27.3,297,204,0,0,,2,2,100.0,4,20,20.0,0,0.0,0.0,0,0,0,0,0,Matches
306,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,18.4,682,896,76.1,11765,3509,15,49,30.6,546,620,88.1,121,227,53.3,1,2.8,-1.8,33,73,24,5,104,Matches
307,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.9,277,377,73.5,4420,608,11,25,44.0,229,302,75.8,37,50,74.0,1,0.9,+0.1,11,20,2,0,12,Matches
308,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,1.8,71,81,87.7,1337,333,0,1,0.0,54,56,96.4,17,24,70.8,0,0.0,0.0,0,1,0,0,1,Matches
309,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,4,6,66.7,53,30,0,1,0.0,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,1,Matches
310,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,25.6,859,1073,80.1,13708,3728,39,74,52.7,697,787,88.6,123,212,58.0,4,3.4,+0.6,43,72,29,5,114,Matches
311,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,18.7,424,577,73.5,6105,1656,13,41,31.7,374,456,82.0,37,80,46.3,2,1.7,+0.3,25,30,19,2,58,Matches
312,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,11.3,160,205,78.0,2091,338,5,15,33.3,144,173,83.2,11,17,64.7,4,2.4,+1.6,11,8,4,1,12,Matches
313,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,27.1,1248,1581,78.9,27527,7072,13,43,30.2,820,926,88.6,415,612,67.8,6,5.3,+0.7,67,123,29,12,201,Matches
314,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,7.8,109,164,66.5,1567,286,5,14,35.7,91,123,74.0,13,27,48.1,0,0.4,-0.4,2,7,3,0,10,Matches
315,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,6.9,343,410,83.7,8342,2706,1,9,11.1,197,223,88.3,145,178,81.5,1,0.0,+1.0,0,30,0,0,23,Matches
316,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.2,25,29,86.2,381,132,1,2,50.0,21,23,91.3,3,4,75.0,0,0.1,-0.1,2,1,2,1,5,Matches
317,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
318,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,18.2,597,709,84.2,11331,2296,10,23,43.5,460,523,88.0,127,163,77.9,0,0.5,-0.5,11,27,4,0,35,Matches
319,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,21.0,972,1132,85.9,18546,3982,21,38,55.3,726,811,89.5,225,283,79.5,1,0.4,+0.6,8,93,2,0,53,Matches
320,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,10.5,484,572,84.6,8445,2545,16,28,57.1,386,435,88.7,82,109,75.2,2,1.3,+0.7,13,42,10,0,56,Matches
321,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,5.1,147,184,79.9,2308,697,4,13,30.8,121,139,87.1,22,32,68.8,0,0.3,-0.3,6,8,7,2,22,Matches
322,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,8.1,221,299,73.9,3546,718,9,31,29.0,176,214,82.2,36,54,66.7,2,2.3,-0.3,12,13,6,3,27,Matches
323,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,25.3,1101,1391,79.2,26820,6373,6,22,27.3,658,761,86.5,437,608,71.9,1,1.3,-0.3,18,136,19,2,111,Matches
324,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.0,67,119,56.3,1088,596,0,3,0.0,57,81,70.4,10,35,28.6,0,0.0,0.0,0,0,1,1,9,Matches
325,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,3,5,60.0,40,0,0,0,,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
326,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,2.8,44,56,78.6,622,40,0,3,0.0,40,49,81.6,4,4,100.0,0,0.3,-0.3,2,1,0,0,1,Matches
327,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,23.9,926,1151,80.5,18744,5327,15,47,31.9,647,757,85.5,264,347,76.1,1,1.3,-0.3,18,107,21,3,120,Matches
328,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,26.5,1288,1667,77.3,30234,8891,17,38,44.7,844,944,89.4,427,685,62.3,0,3.4,-3.4,41,171,31,10,208,Matches
329,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,2.0,37,63,58.7,1413,1127,0,0,,14,14,100.0,23,49,46.9,0,0.0,0.0,0,0,0,0,0,Matches
330,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,28.0,986,1326,74.4,20804,7886,8,37,21.6,701,812,86.3,277,477,58.1,1,2.2,-1.2,9,81,21,3,106,Matches
331,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,5.4,93,115,80.9,1101,160,8,17,47.1,80,93,86.0,5,5,100.0,0,0.7,-0.7,5,0,1,0,3,Matches
332,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,24.0,555,715,77.6,12140,3887,3,12,25.0,373,429,86.9,179,274,65.3,0,0.0,0.0,1,36,1,0,29,Matches
333,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,5.7,113,157,72.0,1838,265,3,4,75.0,93,119,78.2,17,34,50.0,1,0.1,+0.9,4,4,6,2,9,Matches
334,Ben Osborn\Ben-Osborn,eng ENG,DFMF,Sheffield Utd,24,1994,1.4,50,69,72.5,871,275,2,5,40.0,38,43,88.4,10,21,47.6,0,0.3,-0.3,2,3,1,0,6,Matches
335,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,15.7,1076,1156,93.1,23574,5748,5,13,38.5,710,745,95.3,361,398,90.7,0,0.2,-0.2,3,53,0,0,31,Matches
336,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,12.3,447,566,79.0,9101,1985,9,25,36.0,327,385,84.9,111,156,71.2,0,1.0,-1.0,14,60,25,5,65,Matches
337,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.1,754,891,84.6,12499,3375,12,31,38.7,626,675,92.7,116,185,62.7,2,2.3,-0.3,36,59,25,1,111,Matches
338,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,704,850,82.8,11332,3118,13,24,54.2,608,685,88.8,83,141,58.9,0,1.4,-1.4,18,27,8,5,55,Matches
339,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.9,873,973,89.7,19136,5507,8,15,53.3,582,608,95.7,283,350,80.9,0,0.2,-0.2,1,27,1,0,24,Matches
340,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,5,100.0,92,25,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
341,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,29.0,416,656,63.4,16740,11529,1,1,100.0,119,121,98.3,296,534,55.4,0,0.0,0.0,0,4,0,0,0,Matches
342,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,255,326,78.2,4184,967,6,18,33.3,212,250,84.8,37,58,63.8,1,0.8,+0.2,18,8,12,1,24,Matches
343,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,17.7,518,683,75.8,8217,1982,10,37,27.0,431,492,87.6,77,154,50.0,6,3.4,+2.6,33,19,24,6,59,Matches
344,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.1,545,745,73.2,9493,2638,12,36,33.3,439,528,83.1,94,181,51.9,3,3.6,-0.6,29,51,17,4,79,Matches
345,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1513,1875,80.7,25283,9727,14,66,21.2,1293,1479,87.4,206,330,62.4,2,3.8,-1.8,27,96,38,9,218,Matches
346,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,14.7,451,547,82.4,7194,1586,17,28,60.7,369,425,86.8,65,94,69.1,0,1.7,-1.7,16,30,13,4,46,Matches
347,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,17.7,464,588,78.9,6531,1610,23,59,39.0,398,463,86.0,43,66,65.2,4,3.0,+1.0,21,27,21,6,47,Matches
348,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,29.0,649,1036,62.6,24493,17023,5,5,100.0,291,292,99.7,353,739,47.8,0,0.0,0.0,0,38,4,0,2,Matches
349,Brandon Pierrick\Brandon-Pierrick,eng ENG,DF,Crystal Palace,17,2001,0.1,5,8,62.5,65,6,1,3,33.3,4,5,80.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
350,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,30,1988,13.7,485,657,73.8,8577,3845,8,28,28.6,391,459,85.2,86,170,50.6,3,1.0,+2.0,9,30,9,5,82,Matches
351,Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,23,1995,0.5,16,20,80.0,249,72,1,2,50.0,14,15,93.3,1,3,33.3,0,0.1,-0.1,1,2,1,0,4,Matches
352,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,5.8,381,458,83.2,7748,2006,6,17,35.3,282,319,88.4,93,122,76.2,2,1.5,+0.5,15,43,15,0,49,Matches
353,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,29.0,402,897,44.8,18933,15222,1,2,50.0,95,97,97.9,306,798,38.3,0,0.6,-0.6,4,36,1,0,2,Matches
354,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,10.8,371,447,83.0,6514,1643,10,22,45.5,291,334,87.1,70,91,76.9,2,0.6,+1.4,7,30,8,2,31,Matches
355,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,6,10,60.0,81,55,0,0,,6,7,85.7,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Matches
356,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,26.0,1308,1552,84.3,25221,7224,18,55,32.7,995,1122,88.7,295,375,78.7,2,2.0,0.0,25,148,20,3,171,Matches
357,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,27.6,367,451,81.4,5040,563,18,42,42.9,311,358,86.9,38,51,74.5,3,3.2,-0.2,26,10,5,2,15,Matches
358,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,12.0,351,451,77.8,5461,992,7,25,28.0,300,355,84.5,44,71,62.0,2,2.1,-0.1,18,18,18,1,38,Matches
359,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWMF,Watford,23,1995,0.6,13,22,59.1,185,100,1,1,100.0,9,12,75.0,3,9,33.3,0,0.0,0.0,0,0,1,0,2,Matches
360,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,100.0,135,21,0,0,,8,8,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
361,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,28.0,510,865,59.0,16708,10859,2,4,50.0,261,262,99.6,247,599,41.2,1,0.0,+1.0,1,9,0,0,2,Matches
362,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,22,40,55.0,1244,1093,0,0,,2,2,100.0,20,38,52.6,0,0.0,0.0,0,3,0,0,0,Matches
363,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,20.9,452,605,74.7,7011,1821,15,47,31.9,393,482,81.5,44,76,57.9,4,2.7,+1.3,24,34,35,3,78,Matches
364,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,21.8,509,704,72.3,8653,2067,19,45,42.2,405,507,79.9,85,152,55.9,1,2.7,-1.7,29,32,27,4,74,Matches
365,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,6.0,142,196,72.4,4760,2983,3,3,100.0,50,51,98.0,89,142,62.7,0,0.0,0.0,0,1,0,0,1,Matches
366,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,29.0,1112,1294,85.9,22314,5385,23,48,47.9,790,865,91.3,299,381,78.5,2,1.1,+0.9,14,120,9,5,90,Matches
367,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,26.2,434,664,65.4,7165,1761,13,69,18.8,349,470,74.3,72,125,57.6,3,5.1,-2.1,30,23,22,1,59,Matches
368,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,19.9,792,1145,69.2,14883,7922,19,65,29.2,612,744,82.3,161,336,47.9,2,2.0,0.0,24,86,23,9,183,Matches
369,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,22,1996,6.8,242,331,73.1,4117,1997,5,9,55.6,204,251,81.3,33,71,46.5,0,0.4,-0.4,2,27,5,0,46,Matches
370,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,7.9,242,364,66.5,4649,1977,6,23,26.1,188,221,85.1,48,120,40.0,0,1.0,-1.0,20,17,6,2,52,Matches
371,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,113,232,48.7,4456,3562,1,1,100.0,38,38,100.0,74,193,38.3,0,0.0,0.0,0,0,0,0,0,Matches
372,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,7,10,70.0,128,22,0,0,,6,7,85.7,1,3,33.3,0,0.0,0.0,0,1,0,0,0,Matches
373,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,27.2,1789,2209,81.0,33013,10919,22,64,34.4,1428,1615,88.4,339,530,64.0,7,5.6,+1.4,44,131,48,20,243,Matches
374,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,117,155,75.5,1785,293,5,10,50.0,97,120,80.8,15,25,60.0,1,0.5,+0.5,4,5,3,1,7,Matches
375,Rodri\Rodri,es ESP,MFDF,Manchester City,23,1996,21.7,1813,1957,92.6,37336,8504,15,30,50.0,1287,1356,94.9,511,571,89.5,1,1.3,-0.3,27,181,12,1,126,Matches
376,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,15.3,238,343,69.4,3173,547,19,40,47.5,195,257,75.9,24,46,52.2,0,0.4,-0.4,4,12,3,0,19,Matches
377,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.3,37,55,67.3,747,323,0,1,0.0,28,32,87.5,9,22,40.9,0,0.0,0.0,0,3,0,0,8,Matches
378,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,14.5,565,687,82.2,10664,2658,8,14,57.1,438,509,86.1,119,164,72.6,0,0.3,-0.3,9,49,10,2,64,Matches
379,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,3.9,149,196,76.0,2447,986,3,11,27.3,128,146,87.7,18,39,46.2,0,0.0,0.0,1,15,3,1,21,Matches
380,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,435,572,76.0,7649,3168,5,21,23.8,361,410,88.0,69,141,48.9,0,0.8,-0.8,10,34,12,4,74,Matches
381,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,12.5,764,882,86.6,18007,4658,7,16,43.8,461,500,92.2,296,366,80.9,0,0.3,-0.3,2,66,1,0,40,Matches
382,Lukas Rupp\Lukas-Rupp,de GER,FW,Norwich City,28,1991,3.8,96,129,74.4,1406,289,5,10,50.0,82,100,82.0,9,19,47.4,0,0.5,-0.5,5,5,3,1,7,Matches
383,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29.0,914,1117,81.8,25837,14330,0,2,0.0,500,503,99.4,414,612,67.6,0,0.0,0.0,0,6,0,0,1,Matches
384,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,14.2,219,310,70.6,3799,885,2,19,10.5,180,229,78.6,37,62,59.7,1,2.5,-1.5,24,14,9,5,33,Matches
385,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,22.1,904,1101,82.1,20611,7627,6,26,23.1,595,660,90.2,303,415,73.0,1,0.5,+0.5,6,91,8,0,94,Matches
386,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,13.0,501,638,78.5,8169,2430,9,36,25.0,427,499,85.6,65,103,63.1,3,1.9,+1.1,13,30,13,3,53,Matches
387,Mamadou Sakho\Mamadou-Sakho,fr FRA,DFMF,Crystal Palace,29,1990,5.2,235,266,88.3,4787,1848,1,3,33.3,165,183,90.2,69,80,86.3,0,0.1,-0.1,1,16,1,0,13,Matches
388,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,25.0,564,766,73.6,8409,2256,17,57,29.8,495,615,80.5,52,94,55.3,6,5.6,+0.4,41,31,43,3,92,Matches
389,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,3.9,49,61,80.3,667,93,2,3,66.7,44,52,84.6,3,6,50.0,0,0.2,-0.2,3,1,0,0,2,Matches
390,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,45,55,81.8,821,218,1,1,100.0,36,41,87.8,8,13,61.5,0,0.0,0.0,0,2,0,0,2,Matches
391,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,21.0,1030,1187,86.8,21826,6231,5,19,26.3,724,781,92.7,301,387,77.8,0,0.0,0.0,1,32,0,0,48,Matches
392,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,13.6,283,382,74.1,4427,1111,9,24,37.5,242,302,80.1,32,56,57.1,3,1.3,+1.7,17,11,17,8,30,Matches
393,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,15.5,445,613,72.6,11459,5071,5,11,45.5,263,307,85.7,177,295,60.0,0,0.1,-0.1,3,60,4,1,57,Matches
394,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,3.2,104,144,72.2,1738,621,1,5,20.0,90,112,80.4,13,27,48.1,0,0.0,0.0,0,3,3,1,20,Matches
395,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,9.5,209,278,75.2,3607,1153,6,11,54.5,176,211,83.4,27,56,48.2,1,1.1,-0.1,7,26,4,1,32,Matches
396,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29.0,704,918,76.7,21253,11578,2,4,50.0,351,353,99.4,351,561,62.6,0,0.2,-0.2,1,2,0,0,2,Matches
397,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,494,567,87.1,10391,2945,5,14,35.7,344,378,91.0,145,175,82.9,0,0.2,-0.2,4,59,6,1,62,Matches
398,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,145,195,74.4,2401,925,1,8,12.5,122,143,85.3,22,44,50.0,0,0.1,-0.1,2,13,2,1,20,Matches
399,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,1.9,83,101,82.2,1500,493,1,2,50.0,65,74,87.8,17,25,68.0,0,0.2,-0.2,3,11,3,2,17,Matches
400,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,7.4,118,158,74.7,1720,379,5,16,31.3,105,129,81.4,8,13,61.5,0,1.5,-1.5,11,6,7,2,14,Matches
401,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,13.7,776,906,85.7,11407,4576,8,26,30.8,710,775,91.6,58,105,55.2,0,0.6,-0.6,13,41,14,2,97,Matches
402,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,14.9,469,657,71.4,11780,4034,5,12,41.7,266,318,83.6,198,327,60.6,0,2.4,-2.4,29,83,16,1,100,Matches
403,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,18.2,782,1017,76.9,15082,5860,10,40,25.0,614,730,84.1,158,247,64.0,4,2.0,+2.0,18,49,18,10,156,Matches
404,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,22.2,624,829,75.3,11942,3902,12,32,37.5,464,547,84.8,148,250,59.2,2,3.5,-1.5,40,67,23,5,115,Matches
405,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,16.6,914,1066,85.7,14975,3009,19,48,39.6,777,866,89.7,118,152,77.6,5,3.8,+1.2,33,42,33,7,82,Matches
406,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,14.0,840,992,84.7,13348,2664,21,57,36.8,708,799,88.6,111,136,81.6,7,3.4,+3.6,31,61,44,0,91,Matches
407,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.6,70,100,70.0,1208,446,1,6,16.7,56,69,81.2,13,25,52.0,0,0.0,0.0,0,5,0,0,5,Matches
408,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,18.8,807,941,85.8,14151,2901,21,33,63.6,648,736,88.0,138,172,80.2,1,1.0,0.0,11,51,12,3,66,Matches
409,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.6,25,27,92.6,468,110,0,0,,19,21,90.5,6,6,100.0,0,0.0,0.0,0,3,0,0,3,Matches
410,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,1.8,89,107,83.2,1691,402,1,4,25.0,69,80,86.3,19,23,82.6,0,0.0,0.0,0,7,1,1,9,Matches
411,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,17.3,642,817,78.6,10290,3702,11,39,28.2,546,617,88.5,85,161,52.8,1,0.6,+0.4,8,35,8,2,75,Matches
412,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,30,36,83.3,391,65,1,3,33.3,26,28,92.9,3,5,60.0,0,0.0,0.0,0,3,0,0,0,Matches
413,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,435,635,68.5,7988,2676,11,35,31.4,331,403,82.1,93,197,47.2,5,2.8,+2.2,33,31,14,2,82,Matches
414,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,522,724,72.1,9101,4205,9,22,40.9,425,506,84.0,88,196,44.9,1,1.2,-0.2,14,35,19,12,94,Matches
