Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
213,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,79,89,88.8,1388,398,2,3,66.7,60,66,90.9,17,20,85.0,0,0.0,0.0,0,6,0,0,1,Matches
214,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,22.4,1606,1836,87.5,30231,7682,29,45,64.4,1229,1351,91.0,348,440,79.1,2,2.2,-0.2,22,190,29,1,165,Matches
215,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.5,66,86,76.7,1260,554,1,4,25.0,50,61,82.0,15,21,71.4,1,0.6,+0.4,5,10,5,0,17,Matches
216,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,19.7,511,655,78.0,8390,1631,13,40,32.5,431,526,81.9,67,89,75.3,1,2.6,-1.6,26,29,16,5,52,Matches
217,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,2.2,141,173,81.5,2239,858,2,7,28.6,124,138,89.9,15,28,53.6,1,0.4,+0.6,3,6,4,0,26,Matches
218,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,17.5,356,465,76.6,7995,3047,5,13,38.5,235,265,88.7,116,187,62.0,1,0.3,+0.7,2,31,0,0,32,Matches
219,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,19.8,284,424,67.0,5089,1297,6,28,21.4,215,291,73.9,63,105,60.0,2,1.8,+0.2,19,36,13,3,52,Matches
220,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,15.4,720,859,83.8,12493,3165,24,52,46.2,566,651,86.9,130,156,83.3,0,2.0,-2.0,24,79,24,7,87,Matches
221,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,7.5,88,120,73.3,1180,245,9,21,42.9,70,85,82.4,9,14,64.3,2,0.5,+1.5,4,5,5,1,11,Matches
222,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,19.4,708,860,82.3,17102,5301,6,12,50.0,421,482,87.3,281,366,76.8,0,0.4,-0.4,3,50,2,0,54,Matches
223,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,4.1,285,314,90.8,4527,1177,7,12,58.3,242,260,93.1,36,42,85.7,1,1.2,-0.2,8,26,10,2,29,Matches
224,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,493,670,73.6,9627,4222,8,26,30.8,365,439,83.1,120,205,58.5,1,0.9,+0.1,6,26,7,6,52,Matches
225,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.0,72,90,80.0,1391,547,1,3,33.3,55,62,88.7,16,25,64.0,0,0.0,0.0,0,4,0,0,9,Matches
226,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,16.3,260,369,70.5,3911,946,9,36,25.0,218,284,76.8,33,49,67.3,2,2.7,-0.7,21,18,14,4,32,Matches
227,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.2,19,30,63.3,307,8,0,1,0.0,16,25,64.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,Matches
228,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,12.3,541,652,83.0,8684,2874,5,23,21.7,468,531,88.1,68,98,69.4,2,1.0,+1.0,9,26,13,4,61,Matches
229,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,13.3,418,507,82.4,8764,2932,3,12,25.0,292,324,90.1,123,171,71.9,2,0.1,+1.9,3,27,0,0,29,Matches
230,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,22.1,496,652,76.1,7912,2409,20,45,44.4,401,492,81.5,75,115,65.2,1,0.9,+0.1,8,30,7,1,49,Matches
231,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,18.7,1402,1561,89.8,27326,6859,19,33,57.6,1045,1113,93.9,338,415,81.4,3,1.9,+1.1,26,148,21,2,143,Matches
