Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
27,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,29.0,46,1,3,6,2,39.9,0.33,-4.1,-0.14,251,632,39.7,836,133,59.3,47.9,200,68.0,56.8,224,20,8.9,170,5.86,15.1,Matches
28,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,29.0,40,3,0,3,1,36.6,0.29,-2.4,-0.08,227,713,31.8,673,123,75.0,55.1,224,92.9,70.7,279,37,13.3,147,5.07,16.6,Matches
29,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,28.0,44,4,1,5,0,46.7,0.31,+2.7,+0.10,145,485,29.9,630,148,50.8,43.5,235,70.2,58.1,269,18,6.7,156,5.57,14.3,Matches
30,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,5,1,0,1,0,4.5,0.40,-0.5,-0.23,18,36,50.0,26,3,84.6,55.5,14,100.0,66.0,19,2,10.5,7,3.50,13.6,Matches
31,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,6.0,13,1,0,1,0,11.7,0.30,-1.3,-0.21,45,95,47.4,156,29,46.8,38.9,40,55.0,43.6,43,3,7.0,30,5.00,16.8,Matches
32,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,17,1,1,3,1,17.2,0.33,+1.2,+0.16,49,167,29.3,192,26,67.2,49.0,40,95.0,66.0,59,3,5.1,42,5.51,13.1,Matches
33,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29.0,40,2,0,6,3,43.2,0.33,+6.2,+0.21,192,369,52.0,918,188,31.5,32.6,199,40.2,36.4,205,17,8.3,136,4.69,14.4,Matches
34,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29.0,28,5,0,6,0,33.5,0.29,+5.5,+0.19,177,371,47.7,722,121,38.5,36.8,196,47.4,40.5,227,9,4.0,128,4.41,16.0,Matches
35,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,0.0,26.0,1,100.0,70.0,0,0,,0,0.00,,Matches
36,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,3,0,0,0,0,2.1,0.41,-0.9,-0.94,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0.0,7,7.00,14.9,Matches
