Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
421,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
422,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,21.6,0,0,0,14,2,0,14.3,0.65,0.09,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
423,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,20.3,1,0,0,6,1,0,16.7,0.30,0.05,0.17,1.00,0.8,0.8,0.13,+0.2,+0.2,Matches
424,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,22.5,11,0,1,70,22,1,31.4,3.11,0.98,0.16,0.50,11.2,10.2,0.15,-0.2,+0.8,Matches
425,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,27.2,2,0,0,15,4,0,26.7,0.55,0.15,0.13,0.50,0.8,0.8,0.06,+1.2,+1.2,Matches
426,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,10.4,0,0,0,18,5,0,27.8,1.73,0.48,0.00,0.00,1.5,1.5,0.08,-1.5,-1.5,Matches
427,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,10.1,0,0,0,6,1,0,16.7,0.60,0.10,0.00,0.00,0.6,0.6,0.11,-0.6,-0.6,Matches
428,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.7,0,0,0,1,1,0,100.0,1.38,1.38,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1,Matches
429,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
430,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0,0,0,1,0,0,0.0,0.38,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
