Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
458,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,5.9,8,1.36,6,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
459,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,4.2,17,4.04,12,0,0,4,1,0,0.00,0,0,0,0,0,0,Matches
460,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,3.7,9,2.45,5,0,2,0,2,3,0.82,1,0,2,0,0,0,Matches
461,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,11.9,24,2.02,17,0,2,3,2,3,0.25,2,0,0,1,0,0,Matches
462,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,20.1,30,1.49,29,0,0,0,1,4,0.20,4,0,0,0,0,0,Matches
463,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,6,2.23,4,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
464,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
465,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,25.9,38,1.47,31,2,5,0,0,4,0.15,3,0,1,0,0,0,Matches
466,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,1,3.91,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
467,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,17.5,6,0.34,5,0,0,0,0,1,0.06,0,0,0,0,0,1,Matches
468,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,29.0,76,2.62,36,34,0,4,2,5,0.17,1,2,0,1,1,0,Matches
469,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,22.4,19,0.85,18,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
470,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,3.1,4,1.30,2,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
471,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,26.0,66,2.54,40,22,0,2,1,8,0.31,3,4,0,0,0,1,Matches
472,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.0,2,2.00,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
473,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,25.9,34,1.31,28,0,5,0,1,2,0.08,2,0,0,0,0,0,Matches
474,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,34,2.04,27,3,4,0,0,6,0.36,4,1,1,0,0,0,Matches
475,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,8.4,22,2.61,19,1,1,0,1,1,0.12,0,0,0,0,1,0,Matches
476,Willian\Willian,br BRA,FW,Chelsea,30,1988,21.4,99,4.62,70,17,6,0,6,9,0.42,7,1,0,0,1,0,Matches
477,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,6.4,27,4.23,23,0,2,1,1,2,0.31,2,0,0,0,0,0,Matches
478,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,1.9,1,0.51,1,0,0,0,0,1,0.51,1,0,0,0,0,0,Matches
479,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,26.1,52,1.99,39,0,3,5,5,5,0.19,1,0,1,1,2,0,Matches
480,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,16.1,41,2.55,29,3,1,1,7,3,0.19,1,0,0,1,1,0,Matches
481,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,17.7,29,1.64,26,3,0,0,0,4,0.23,4,0,0,0,0,0,Matches
482,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,23.0,45,1.96,29,0,5,3,8,3,0.13,3,0,0,0,0,0,Matches
483,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,21.2,31,1.46,25,1,2,1,2,3,0.14,2,0,0,0,1,0,Matches
484,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,9.2,27,2.93,22,0,3,1,1,6,0.65,4,0,2,0,0,0,Matches
485,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,8.6,12,1.40,10,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
486,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,1,0.16,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
487,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,25,2.36,11,13,0,0,1,0,0.00,0,0,0,0,0,0,Matches
488,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.5,5,0.76,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
489,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,28.3,81,2.86,46,0,19,5,10,6,0.21,3,0,0,1,1,1,Matches
490,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
491,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,10.1,21,2.09,21,0,0,0,0,3,0.30,3,0,0,0,0,0,Matches
492,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,20.0,9,0.45,7,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
