Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
361,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,28.0,2,0.07,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
362,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
363,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,20.9,65,3.11,41,2,10,2,9,14,0.67,6,0,3,0,4,1,Matches
364,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,21.8,70,3.21,46,0,11,4,9,3,0.14,2,0,0,0,1,0,Matches
365,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,6.0,2,0.33,2,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
366,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,29.0,25,0.86,25,0,0,0,0,4,0.14,4,0,0,0,0,0,Matches
367,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,26.2,64,2.44,42,0,7,5,9,8,0.31,5,0,1,1,0,1,Matches
368,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,19.9,38,1.91,16,21,0,0,0,4,0.20,2,1,0,0,0,1,Matches
369,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,22,1996,6.8,4,0.59,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
370,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,7.9,26,3.28,7,18,0,1,0,1,0.13,1,0,0,0,0,0,Matches
371,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
372,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,1,3.91,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
373,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,27.2,78,2.87,68,6,3,1,0,13,0.48,11,0,2,0,0,0,Matches
374,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,11,1.46,9,0,0,1,0,2,0.27,1,0,0,0,0,1,Matches
375,Rodri\Rodri,es ESP,MFDF,Manchester City,23,1996,21.7,49,2.25,43,0,2,1,3,2,0.09,2,0,0,0,0,0,Matches
376,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,15.3,19,1.24,12,0,2,2,3,4,0.26,3,0,0,1,0,0,Matches
377,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
378,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,14.5,18,1.24,16,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
379,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,3.9,4,1.02,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
380,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,15,1.51,11,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
381,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,12.5,5,0.40,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
382,Lukas Rupp\Lukas-Rupp,de GER,FW,Norwich City,28,1991,3.8,7,1.86,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
