Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
166,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.0,1,0,0,8,1,5,4,1,5,0,0,0,38,12,30,28.6,Matches
167,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,4.6,1,0,0,1,8,2,13,4,4,1,0,0,33,1,5,16.7,Matches
168,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,25.9,7,0,0,24,127,3,97,16,23,0,0,0,189,11,30,26.8,Matches
169,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,7.2,0,0,0,5,4,2,9,3,9,0,0,0,36,5,9,35.7,Matches
170,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,4.5,0,0,0,0,4,2,6,7,1,0,0,0,25,1,7,12.5,Matches
171,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,28,1991,16.6,2,0,0,20,11,5,117,5,16,0,0,1,99,14,29,32.6,Matches
172,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,27.0,1,0,0,0,3,0,0,0,0,0,0,1,130,0,2,0.0,Matches
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,17.7,6,0,0,15,45,0,6,27,12,1,0,0,179,11,18,37.9,Matches
174,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.1,7,0,0,35,20,2,87,44,38,0,0,0,209,39,55,41.5,Matches
175,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,17.7,7,0,0,13,8,2,29,28,14,0,1,0,185,16,6,72.7,Matches
176,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,,Matches
177,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,23.9,1,0,0,42,38,18,8,8,14,1,0,0,117,186,187,49.9,Matches
178,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,4,0,0,12,20,0,0,30,17,0,0,1,107,44,16,73.3,Matches
179,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,11.0,2,0,0,14,6,1,0,13,18,0,0,0,182,71,22,76.3,Matches
180,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,21.9,4,1,0,22,19,2,36,33,32,0,0,0,231,44,30,59.5,Matches
181,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,1,2,0,0,0,0,0,1,1,84,1,0,100.0,Matches
182,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,27.0,2,0,0,0,2,0,0,0,0,0,0,0,146,1,0,100.0,Matches
183,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,21.0,1,0,0,26,10,0,52,23,35,0,0,0,272,22,9,71.0,Matches
184,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,8,0,0,17,16,4,31,19,10,0,0,0,174,20,25,44.4,Matches
185,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
186,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0.0,Matches
187,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,8.4,0,0,0,7,8,7,18,10,19,0,0,0,55,0,13,0.0,Matches
188,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,27,1992,19.4,0,2,0,11,17,13,39,10,16,1,0,0,130,6,25,19.4,Matches
189,Rob Holding\Rob-Holding,eng ENG,DFFW,Arsenal,23,1995,1.0,0,0,0,1,1,0,0,3,2,0,0,0,5,0,2,0.0,Matches
190,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.2,5,0,0,17,5,0,66,2,11,0,1,0,82,33,18,64.7,Matches
191,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,19.2,4,0,0,14,25,1,2,23,23,0,0,0,180,36,29,55.4,Matches
192,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0.0,Matches
193,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,10.5,4,0,0,11,13,4,50,7,9,1,0,0,73,4,4,50.0,Matches
194,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,8.6,1,0,0,11,9,2,56,1,4,0,0,0,55,3,9,25.0,Matches
195,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,16.8,4,0,0,35,31,1,33,22,30,0,1,0,181,15,17,46.9,Matches
196,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,27.2,5,0,0,43,32,1,27,39,49,0,1,0,447,46,39,54.1,Matches
197,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.5,0,0,0,0,2,0,3,0,3,0,0,0,7,0,0,,Matches
198,Adam Idah\Adam-Idah,ie IRL,FW,Norwich City,18,2001,0.8,0,0,0,0,2,0,0,0,3,0,0,0,3,0,4,0.0,Matches
199,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,0.3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
200,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,6.5,1,0,0,15,6,9,1,1,4,2,0,0,19,1,19,5.0,Matches
201,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,22.3,2,0,0,26,15,8,17,7,24,1,0,0,127,26,87,23.0,Matches
202,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,13.0,0,0,0,6,4,0,32,7,13,0,0,0,102,6,14,30.0,Matches
203,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,1.4,0,0,0,1,1,0,1,1,2,0,0,0,15,10,2,83.3,Matches
204,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.2,0,0,0,2,7,1,23,1,3,0,0,0,27,0,5,0.0,Matches
205,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,24.2,3,0,0,10,50,2,88,7,15,1,0,0,149,8,23,25.8,Matches
206,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
207,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,11.8,1,0,0,16,18,1,78,17,15,0,0,0,113,18,28,39.1,Matches
208,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.8,1,0,0,5,1,0,23,6,6,0,0,1,45,1,1,50.0,Matches
209,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,14.9,2,0,0,19,19,13,5,10,16,0,0,0,87,28,45,38.4,Matches
210,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,27.4,3,0,0,33,25,17,15,13,20,2,0,0,131,56,84,40.0,Matches
211,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,24.9,6,0,0,24,32,17,4,10,15,0,0,0,145,126,180,41.2,Matches
212,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,0.2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
213,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,0,0,3,1,0,1,4,2,0,0,0,19,12,5,70.6,Matches
214,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,22.4,10,0,0,25,28,0,7,56,38,0,1,0,330,11,30,26.8,Matches
215,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.5,0,0,0,5,2,0,0,2,1,0,0,0,21,1,5,16.7,Matches
216,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,19.7,3,0,0,35,48,3,27,7,20,0,0,0,147,20,36,35.7,Matches
217,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,2.2,0,0,0,0,4,1,5,1,2,0,0,0,29,5,4,55.6,Matches
218,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,17.5,3,2,1,16,9,0,0,31,21,0,0,0,145,45,32,58.4,Matches
219,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,19.8,2,0,0,26,32,13,19,4,8,1,0,0,74,49,80,38.0,Matches
220,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,15.4,3,0,0,37,8,0,23,40,41,0,0,0,222,13,27,32.5,Matches
221,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,7.5,0,0,0,22,10,4,10,5,6,0,0,0,32,5,24,17.2,Matches
222,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,19.4,0,0,0,12,6,0,0,30,18,0,1,0,212,93,64,59.2,Matches
223,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,4.1,1,0,0,3,8,0,1,6,12,0,0,0,53,2,4,33.3,Matches
224,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,0,0,0,9,0,0,20,15,18,0,0,0,115,33,23,58.9,Matches
225,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.0,0,0,0,2,0,0,0,4,3,0,0,0,14,11,10,52.4,Matches
226,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,16.3,0,0,0,25,22,3,19,5,11,0,0,0,90,32,48,40.0,Matches
227,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.2,1,0,0,1,2,0,0,0,0,0,0,0,5,5,4,55.6,Matches
228,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,12.3,3,0,0,13,11,5,27,10,15,0,0,0,119,13,7,65.0,Matches
229,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,13.3,1,0,0,9,18,0,2,13,15,0,0,0,128,31,31,50.0,Matches
230,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,22.1,2,0,0,23,24,1,13,26,40,0,0,0,199,65,53,55.1,Matches
231,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,18.7,7,0,0,14,33,0,7,18,46,0,0,0,209,5,15,25.0,Matches
232,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,6.3,0,0,0,3,4,0,13,5,8,0,0,0,41,3,3,50.0,Matches
233,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27.0,4,0,0,1,4,0,0,0,0,0,1,1,120,0,0,,Matches
234,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,14.6,5,0,0,29,25,10,14,5,15,0,0,0,75,14,50,21.9,Matches
235,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.1,1,0,0,7,8,1,3,4,12,0,0,0,51,7,11,38.9,Matches
236,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,10.4,3,0,0,19,17,1,44,4,18,1,0,0,70,1,17,5.6,Matches
237,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.3,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,,Matches
238,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.1,0,0,0,4,1,0,1,0,2,0,0,0,26,2,6,25.0,Matches
239,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,13.2,0,0,0,4,23,4,39,8,8,1,0,0,109,5,12,29.4,Matches
240,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,5.6,1,0,0,5,7,0,0,12,3,0,0,0,67,16,8,66.7,Matches
241,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,18.1,2,0,0,16,12,1,0,24,8,0,0,0,198,57,27,67.9,Matches
242,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,Newcastle Utd,23,1996,2.4,0,1,0,2,0,0,12,0,0,0,0,0,17,3,4,42.9,Matches
243,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,1,0,0,9,11,0,5,8,9,0,0,0,77,5,6,45.5,Matches
244,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,0,0,0,6,4,0,2,11,6,0,0,0,64,13,4,76.5,Matches
245,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.4,4,0,0,11,7,0,8,7,9,0,0,0,30,3,8,27.3,Matches
246,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28.0,2,0,0,0,3,0,0,0,0,0,0,0,144,0,0,,Matches
247,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,21.6,11,1,1,29,29,0,5,42,37,0,0,0,317,36,27,57.1,Matches
248,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,16.6,2,0,0,10,17,0,22,18,19,0,0,0,146,10,15,40.0,Matches
249,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,26.0,5,0,0,15,5,0,2,17,14,0,0,1,310,67,44,60.4,Matches
250,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,9.9,3,0,0,27,11,0,6,2,8,0,0,0,50,1,10,9.1,Matches
251,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,11.1,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,,Matches
252,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,9.7,5,0,0,16,26,0,29,5,22,0,0,0,94,4,12,25.0,Matches
253,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,0,0,0,0,2,0,1,0,1,0,0,0,8,1,2,33.3,Matches
254,Kevin Long\Kevin-Long,ie IRL,MF,Burnley,28,1990,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
255,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,12.7,0,0,0,28,20,11,17,1,11,0,0,0,71,98,108,47.6,Matches
256,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.1,1,0,0,6,6,0,2,5,3,0,0,0,54,4,3,57.1,Matches
257,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.4,2,1,0,14,25,0,30,21,20,0,0,0,166,12,18,40.0,Matches
258,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.4,1,0,0,4,7,0,1,10,9,0,0,0,104,37,19,66.1,Matches
259,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,15.0,2,0,0,13,11,0,42,25,22,0,1,0,118,20,12,62.5,Matches
260,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,24.3,4,1,0,22,12,1,4,25,19,0,2,0,177,42,30,58.3,Matches
261,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,19.0,4,0,0,32,23,0,17,17,20,0,1,0,215,23,24,48.9,Matches
262,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,23.0,4,0,0,24,9,7,49,27,27,0,0,0,200,21,31,40.4,Matches
263,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,FW,Brighton,20,1998,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,Matches
264,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,26.7,4,0,0,33,81,4,201,10,36,0,0,0,200,6,28,17.6,Matches
265,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,29.0,4,0,0,24,17,6,2,56,24,0,0,0,342,150,55,73.2,Matches
266,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,15.4,0,0,0,9,22,8,68,17,15,4,0,0,111,8,18,30.8,Matches
267,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,13.4,5,1,1,12,13,0,17,26,21,0,0,0,110,13,10,56.5,Matches
268,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,23.2,2,0,0,38,33,10,33,10,28,2,0,0,143,25,65,27.8,Matches
269,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,10.7,4,0,0,14,10,1,31,11,22,0,0,0,68,10,13,43.5,Matches
270,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,9.8,2,0,0,10,11,1,46,18,12,0,0,0,83,11,12,47.8,Matches
271,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.0,0,0,0,1,0,0,0,0,1,0,0,0,6,4,3,57.1,Matches
272,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,13.6,4,1,1,15,6,1,17,10,10,0,0,1,101,36,25,59.0,Matches
273,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,20.9,1,0,0,23,26,10,8,1,8,0,0,0,58,18,47,27.7,Matches
274,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
275,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.3,1,0,0,9,10,2,22,3,13,0,0,0,34,7,32,17.9,Matches
276,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,13.6,3,0,0,18,9,1,48,19,21,0,1,0,150,48,18,72.7,Matches
277,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.1,5,1,1,10,9,0,25,13,27,0,0,0,110,11,10,52.4,Matches
278,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.1,1,0,0,7,10,2,22,0,7,0,0,0,47,3,7,30.0,Matches
279,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,10.7,1,0,0,15,9,0,3,14,14,0,0,0,147,23,11,67.6,Matches
280,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.0,0,0,0,7,5,0,1,12,9,0,0,0,84,41,5,89.1,Matches
281,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,23.5,3,0,0,27,36,12,8,4,13,0,0,0,114,13,63,17.1,Matches
282,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,27.0,5,0,0,41,27,2,27,52,53,1,0,0,275,37,51,42.0,Matches
283,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,15.9,3,0,0,16,15,3,6,14,16,0,0,0,113,129,129,50.0,Matches
284,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,19.0,0,0,0,1,2,0,0,0,0,0,0,0,87,0,0,,Matches
285,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,13.0,6,0,0,21,14,0,23,22,34,0,0,0,175,11,17,39.3,Matches
286,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,17.1,2,0,0,24,40,0,47,16,31,0,0,0,153,17,21,44.7,Matches
287,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,15.1,2,0,0,24,16,9,7,3,21,0,0,0,88,53,96,35.6,Matches
288,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
289,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,25.4,4,0,0,21,47,0,46,32,23,0,1,0,246,75,66,53.2,Matches
290,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,28.2,4,0,0,21,28,0,192,21,23,0,0,0,254,22,23,48.9,Matches
291,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,17.2,2,0,0,30,45,0,12,27,27,1,0,0,213,39,27,59.1,Matches
292,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,29.0,7,0,0,23,20,3,2,44,14,0,2,0,312,130,72,64.4,Matches
293,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,12.4,2,0,0,12,1,0,72,13,13,0,0,0,96,12,13,48.0,Matches
294,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,2.2,0,0,0,2,4,0,2,5,4,0,0,0,28,4,1,80.0,Matches
295,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.0,1,0,0,11,5,1,2,17,12,0,0,0,105,35,21,62.5,Matches
296,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,6.1,1,0,0,6,15,2,7,6,7,0,0,0,37,3,6,33.3,Matches
297,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,22.1,9,0,0,40,19,1,128,34,31,0,1,0,264,26,15,63.4,Matches
298,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,8.4,3,0,0,7,9,1,17,6,7,0,0,0,85,14,6,70.0,Matches
299,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,23.2,3,0,0,19,12,1,4,27,18,0,0,1,255,103,61,62.8,Matches
300,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,0.9,0,0,0,3,0,0,2,0,0,0,0,0,4,1,2,33.3,Matches
301,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,22.3,5,0,0,14,5,2,7,21,14,0,1,0,228,49,26,65.3,Matches
302,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,1,0,0,2,2,1,4,0,0,0,0,0,12,2,1,66.7,Matches
303,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,0,0,0,1,1,2,4,3,4,0,0,0,17,7,7,50.0,Matches
304,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,19.0,5,0,0,23,15,4,41,26,24,0,0,0,149,22,17,56.4,Matches
305,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
306,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,18.4,2,1,1,8,6,0,91,16,28,0,0,0,146,12,21,36.4,Matches
307,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.9,3,0,0,43,14,14,7,4,10,0,0,0,60,58,92,38.7,Matches
308,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,1.8,0,0,0,1,0,0,0,2,1,0,0,0,11,7,7,50.0,Matches
309,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
310,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,25.6,3,0,0,28,33,2,113,13,29,1,0,0,160,10,32,23.8,Matches
311,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,18.7,2,0,0,17,48,4,13,13,20,0,0,0,154,42,69,37.8,Matches
312,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,11.3,1,0,0,19,8,15,4,1,4,0,0,0,57,10,75,11.8,Matches
313,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,27.1,5,0,0,33,18,3,177,38,48,0,0,0,289,14,24,36.8,Matches
314,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,7.8,0,0,0,15,14,10,3,1,2,0,0,0,33,27,37,42.2,Matches
315,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,6.9,0,0,0,6,1,0,0,12,4,0,0,0,70,37,16,69.8,Matches
316,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.2,0,0,0,2,3,3,1,0,2,0,0,0,8,0,5,0.0,Matches
317,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
318,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,18.2,4,0,0,22,21,0,3,34,46,0,0,0,215,14,24,36.8,Matches
319,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,21.0,3,0,0,34,16,1,2,65,55,0,1,0,301,54,45,54.5,Matches
320,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,10.5,2,0,0,13,28,0,11,12,17,0,0,0,101,4,6,40.0,Matches
321,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,5.1,1,0,0,7,5,2,17,3,5,0,0,0,29,0,3,0.0,Matches
322,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,8.1,2,0,0,12,13,2,33,6,3,0,0,0,66,7,24,22.6,Matches
323,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,25.3,7,0,0,23,10,0,28,42,32,0,0,0,348,21,19,52.5,Matches
324,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.0,0,0,0,2,1,1,7,5,11,0,0,0,27,7,11,38.9,Matches
325,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,0,0,0,2,0,0,1,1,1,0,0,0,1,0,4,0.0,Matches
326,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,2.8,0,0,0,5,3,1,0,0,1,0,0,0,10,4,2,66.7,Matches
327,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,23.9,4,0,0,26,26,0,22,21,28,1,0,0,253,10,12,45.5,Matches
328,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,26.5,6,0,0,24,13,0,145,41,36,0,0,0,373,38,27,58.5,Matches
329,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
330,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,28.0,3,0,0,18,12,2,47,34,18,0,0,0,311,109,45,70.8,Matches
331,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,5.4,1,0,0,6,7,2,1,3,2,0,0,0,26,7,31,18.4,Matches
332,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,24.0,4,0,0,14,11,0,1,25,26,0,1,1,245,82,38,68.3,Matches
333,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,5.7,0,0,0,4,11,0,15,3,10,1,0,0,35,13,19,40.6,Matches
