Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
473,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,25.9,1479,33,227,927,421,61,1458,42,66,63.6,43,4,1167,6220,2791,1248,1090,87.3,28,33,Matches
474,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,755,61,262,301,223,22,627,30,39,76.9,30,0,408,2043,1313,407,346,85.0,9,7,Matches
475,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,8.4,542,27,164,251,174,24,489,11,16,68.8,12,0,375,2502,1654,386,350,90.7,11,9,Matches
476,Willian\Willian,br BRA,FW,Chelsea,30,1988,21.4,1418,13,156,596,786,102,1331,51,71,71.8,54,3,1100,9154,5033,1303,1064,81.7,47,32,Matches
477,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,6.4,372,20,81,212,119,23,369,16,22,72.7,17,2,289,2132,1298,303,243,80.2,20,17,Matches
478,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,1.9,87,1,12,54,25,3,86,5,7,71.4,6,0,67,440,228,73,58,79.5,3,10,Matches
479,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,26.1,693,18,59,279,397,133,668,20,43,46.5,21,0,488,2847,1592,1124,492,43.8,80,43,Matches
480,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,16.1,715,18,107,317,330,48,662,16,32,50.0,18,0,469,3044,1509,547,444,81.2,28,17,Matches
481,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,17.7,1383,38,296,917,267,4,1341,12,20,60.0,13,0,1002,5747,2947,1091,1055,96.7,8,11,Matches
482,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,23.0,648,18,48,265,357,86,639,9,20,45.0,10,1,315,1334,637,1136,498,43.8,75,25,Matches
483,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,21.2,1658,97,502,1023,232,14,1614,20,24,83.3,20,1,1204,5657,2838,1260,1201,95.3,4,10,Matches
484,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,9.2,419,6,58,180,202,45,412,7,12,58.3,7,0,310,1827,1020,460,325,70.7,18,15,Matches
485,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,8.6,345,30,128,136,99,4,311,5,10,50.0,5,0,181,1023,630,242,193,79.8,3,4,Matches
486,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,317,38,166,143,20,6,309,1,1,100.0,1,0,170,820,287,194,187,96.4,1,3,Matches
487,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,836,36,192,443,240,12,656,8,17,47.1,9,2,503,2166,1220,508,479,94.3,5,3,Matches
488,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.5,398,37,118,205,93,8,332,0,2,0.0,0,0,197,1004,530,228,202,88.6,2,2,Matches
489,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,28.3,1476,7,159,694,780,183,1453,138,223,61.9,145,6,1367,11004,7288,1543,1149,74.5,96,129,Matches
490,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.4,779,155,504,318,20,7,761,4,5,80.0,4,0,426,3080,1891,439,436,99.3,4,4,Matches
491,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,10.1,1010,19,206,517,353,4,928,4,8,50.0,4,0,640,2718,1609,778,749,96.3,5,6,Matches
492,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,20.0,1690,196,926,833,40,16,1665,7,11,63.6,8,0,1162,6021,3238,1224,1205,98.4,6,3,Matches
