Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
63,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,22.4,1667,48,320,796,679,52,1516,93,123,75.6,97,2,1246,7086,4325,1321,1128,85.4,58,76,Matches
64,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,23.9,1780,116,596,916,380,24,1565,22,38,57.9,23,1,1026,5631,2996,1150,1073,93.3,19,29,Matches
65,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,1013,91,384,405,264,41,875,5,14,35.7,7,2,466,2240,1128,585,518,88.5,19,7,Matches
66,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,136,126,136,0,0,0,112,0,0,,0,0,87,303,161,82,82,100.0,0,0,Matches
67,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,20.0,1004,167,613,398,46,33,975,8,10,80.0,8,0,544,3114,1333,622,601,96.6,7,4,Matches
68,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,21.2,741,27,59,328,393,111,722,10,23,43.5,13,1,378,2523,992,1069,560,52.4,80,32,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,0,0,3,0,0,3,0,0,,0,0,3,28,9,3,3,100.0,0,0,Matches
70,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,8.7,824,17,167,467,247,15,751,25,37,67.6,26,2,585,3193,1812,610,585,95.9,9,9,Matches
71,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,23.1,1288,35,232,631,534,86,1263,49,82,59.8,52,1,948,5980,3240,1206,953,79.0,52,45,Matches
72,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,23.8,1487,85,394,969,180,12,1445,27,38,71.1,28,1,908,3762,1701,923,872,94.5,7,25,Matches
73,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,5.6,253,24,37,110,113,26,249,5,7,71.4,5,1,122,499,141,335,181,54.0,21,16,Matches
74,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,24.4,1403,64,358,617,505,62,1178,22,59,37.3,31,2,812,5142,3317,891,766,86.0,30,36,Matches
75,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,26.2,1077,153,583,509,22,10,1056,4,6,66.7,4,0,572,2483,1007,566,551,97.3,3,4,Matches
76,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,10.1,843,21,173,484,265,14,796,16,23,69.6,17,2,645,4361,2338,663,623,94.0,6,16,Matches
77,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,8.6,399,25,91,233,91,7,380,6,12,50.0,6,2,208,825,401,230,193,83.9,3,9,Matches
78,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.3,1028,130,457,429,188,27,936,13,18,72.2,13,1,681,2959,1638,715,678,94.8,7,11,Matches
79,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,22.9,1983,65,551,989,611,46,1728,19,38,50.0,21,0,1275,8473,5049,1397,1308,93.6,31,32,Matches
80,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,20,1,1,9,11,2,20,1,3,33.3,1,0,20,112,58,23,17,73.9,2,0,Matches
81,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.7,553,30,150,332,97,11,546,7,12,58.3,7,0,364,1390,594,376,357,94.9,3,9,Matches
82,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,14.0,961,110,505,478,37,11,935,0,0,,0,0,649,3501,1827,673,663,98.5,3,1,Matches
83,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,495,107,296,185,33,9,471,5,7,71.4,5,1,215,1071,392,223,207,92.8,4,2,Matches
84,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.1,5,0,2,1,2,1,5,0,0,,0,0,1,5,4,6,4,66.7,0,0,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,7.3,397,12,59,195,159,21,386,2,3,66.7,2,0,261,960,402,322,266,82.6,6,4,Matches
86,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,29.0,1522,278,1021,576,1,0,1494,5,5,100.0,5,0,997,5266,2480,990,987,99.7,2,2,Matches
87,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,13.2,931,53,291,442,266,21,764,35,54,64.8,39,5,563,3765,2142,558,486,87.1,15,15,Matches
88,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,9.3,245,1,11,102,147,46,234,3,11,27.3,3,0,159,1279,680,377,170,45.1,28,24,Matches
89,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,11.2,662,39,182,349,170,10,653,26,32,81.3,27,5,499,2720,1197,501,451,90.0,16,24,Matches
90,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,20.5,1264,234,803,465,57,20,1212,4,4,100.0,4,0,670,3699,1713,751,725,96.5,5,3,Matches
91,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,26.3,1123,64,200,719,269,31,1116,22,30,73.3,22,1,679,3563,1506,713,604,84.7,22,41,Matches
92,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,22.5,1516,85,420,726,428,23,1211,14,34,41.2,17,2,823,3573,1760,876,798,91.1,7,11,Matches
93,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.2,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9,Matches
94,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5,Matches
95,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0,Matches
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,7.1,345,72,227,127,11,9,335,2,3,66.7,2,0,179,889,556,184,180,97.8,0,0,Matches
97,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,206,12,65,104,49,2,173,3,6,50.0,3,0,115,683,322,123,109,88.6,8,1,Matches
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,7.0,497,26,166,258,92,11,418,4,8,50.0,4,0,254,1015,528,288,275,95.5,1,6,Matches
99,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,15.2,755,26,172,466,158,22,739,15,24,62.5,16,0,451,2520,1250,503,445,88.5,17,21,Matches
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,1.4,63,2,4,24,43,11,61,6,10,60.0,6,1,55,495,299,75,46,61.3,5,6,Matches
101,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,17.2,823,104,414,406,37,15,797,1,1,100.0,1,0,440,1961,912,469,447,95.3,5,2,Matches
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,24.0,2002,27,178,894,1071,124,1789,49,76,64.5,50,0,1410,7878,5238,1671,1492,89.3,34,34,Matches
103,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,16.7,647,20,55,297,315,75,632,4,12,33.3,4,0,286,1073,463,959,474,49.4,46,17,Matches
104,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,895,32,230,582,150,1,882,20,24,83.3,20,0,620,3263,1515,635,613,96.5,10,9,Matches
105,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,25.3,1338,103,510,744,153,28,1327,17,21,81.0,17,1,832,3834,1960,972,838,86.2,19,15,Matches
106,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.4,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50,Matches
107,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,9.9,656,67,257,373,51,8,642,2,3,66.7,2,0,373,1605,784,451,430,95.3,6,4,Matches
108,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,24.9,1750,66,409,717,704,49,1335,16,28,57.1,17,2,779,4055,2284,955,822,86.1,12,25,Matches
109,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29.0,2642,283,1118,1570,79,38,2579,2,4,50.0,3,0,1763,7147,3796,1950,1906,97.7,2,2,Matches
110,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,21.7,927,183,497,450,23,15,894,4,4,100.0,4,0,424,2853,1453,434,417,96.1,3,4,Matches
111,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3031,2046,440,318,72.3,34,24,Matches
112,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,23.9,1577,65,387,790,483,80,1329,20,40,50.0,21,4,873,4755,3157,1117,938,84.0,37,16,Matches
113,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27.2,1663,58,333,912,535,82,1653,39,61,63.9,41,2,1162,6058,3300,1290,1105,85.7,34,36,Matches
114,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches
115,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.7,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches
116,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,2.4,92,3,7,36,52,14,89,2,5,40.0,2,1,64,266,108,116,60,51.7,3,7,Matches
117,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,927,805,922,6,0,0,549,0,0,,0,0,321,2067,1093,243,243,100.0,3,0,Matches
118,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6.5,371,16,66,189,130,8,341,4,11,36.4,4,2,212,921,391,316,235,74.4,11,2,Matches
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,712,106,438,281,34,15,681,2,5,40.0,3,0,386,1874,980,415,405,97.6,6,2,Matches
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1,Matches
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,2100,323,1262,866,96,37,2017,3,7,42.9,3,0,1357,7367,3942,1451,1432,98.7,7,10,Matches
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,722,621,713,15,0,0,599,0,0,,0,0,426,1942,1301,401,399,99.5,2,0,Matches
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,1273,183,687,607,48,33,1251,3,3,100.0,3,1,630,3705,1999,658,636,96.7,4,1,Matches
124,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
125,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,8.5,532,42,169,234,169,13,463,4,5,80.0,5,0,325,1698,981,338,312,92.3,3,4,Matches
126,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches
127,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.1,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches
128,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28.6,2062,321,1128,966,70,34,2012,6,7,85.7,6,0,1313,7050,3925,1407,1381,98.2,5,5,Matches
129,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,451,412,451,0,0,0,293,1,1,100.0,1,0,196,1206,607,142,139,97.9,1,0,Matches
130,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,16.0,1210,31,246,780,249,9,1196,5,7,71.4,6,1,790,3642,1678,865,827,95.6,9,6,Matches
131,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,12,11,11,1,0,0,9,0,0,,0,0,4,18,13,4,4,100.0,0,0,Matches
132,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,17.0,1023,46,288,498,293,14,853,13,20,65.0,13,0,579,2982,1546,569,529,93.0,14,8,Matches
